Year;Country;Source;Emission
2004;Indonesia;Energy;385.00000
2005;Indonesia;Energy;381.00000
2006;Indonesia;Energy;390.00000
2007;Indonesia;Energy;407.00000
2008;Indonesia;Energy;396.00000
2009;Indonesia;Energy;410.00000
2010;Indonesia;Energy;458.00000
2011;Indonesia;Energy;512.00000
2012;Indonesia;Energy;545.00000
2013;Indonesia;Energy;501.00000
2014;Indonesia;Energy;536.00000
2015;Indonesia;Energy;541.00000
2016;Indonesia;Energy;543.00000
2017;Indonesia;Energy;567.00000
2018;Indonesia;Energy;620.00000
1850;Indonesia;Industrial Processes and Product Use;0.00159
1851;Indonesia;Industrial Processes and Product Use;0.00167
1852;Indonesia;Industrial Processes and Product Use;0.00176
1853;Indonesia;Industrial Processes and Product Use;0.00186
1854;Indonesia;Industrial Processes and Product Use;0.00196
1855;Indonesia;Industrial Processes and Product Use;0.00207
1856;Indonesia;Industrial Processes and Product Use;0.00218
1857;Indonesia;Industrial Processes and Product Use;0.00230
1858;Indonesia;Industrial Processes and Product Use;0.00242
1859;Indonesia;Industrial Processes and Product Use;0.00255
1860;Indonesia;Industrial Processes and Product Use;0.00268
1861;Indonesia;Industrial Processes and Product Use;0.00281
1862;Indonesia;Industrial Processes and Product Use;0.00295
1863;Indonesia;Industrial Processes and Product Use;0.00310
1864;Indonesia;Industrial Processes and Product Use;0.00326
1865;Indonesia;Industrial Processes and Product Use;0.00342
1866;Indonesia;Industrial Processes and Product Use;0.00359
1867;Indonesia;Industrial Processes and Product Use;0.00376
1868;Indonesia;Industrial Processes and Product Use;0.00395
1869;Indonesia;Industrial Processes and Product Use;0.00414
1870;Indonesia;Industrial Processes and Product Use;0.00434
1871;Indonesia;Industrial Processes and Product Use;0.00455
1872;Indonesia;Industrial Processes and Product Use;0.00477
1873;Indonesia;Industrial Processes and Product Use;0.00501
1874;Indonesia;Industrial Processes and Product Use;0.00526
1875;Indonesia;Industrial Processes and Product Use;0.00552
1876;Indonesia;Industrial Processes and Product Use;0.00579
1877;Indonesia;Industrial Processes and Product Use;0.00607
1878;Indonesia;Industrial Processes and Product Use;0.00636
1879;Indonesia;Industrial Processes and Product Use;0.00665
1880;Indonesia;Industrial Processes and Product Use;0.00695
1881;Indonesia;Industrial Processes and Product Use;0.00725
1882;Indonesia;Industrial Processes and Product Use;0.00756
1883;Indonesia;Industrial Processes and Product Use;0.00789
1884;Indonesia;Industrial Processes and Product Use;0.00822
1885;Indonesia;Industrial Processes and Product Use;0.00856
1886;Indonesia;Industrial Processes and Product Use;0.00892
1887;Indonesia;Industrial Processes and Product Use;0.00929
1888;Indonesia;Industrial Processes and Product Use;0.00967
1889;Indonesia;Industrial Processes and Product Use;0.00952
1890;Indonesia;Industrial Processes and Product Use;0.00980
1891;Indonesia;Industrial Processes and Product Use;0.00980
1892;Indonesia;Industrial Processes and Product Use;0.00988
1893;Indonesia;Industrial Processes and Product Use;0.00999
1894;Indonesia;Industrial Processes and Product Use;0.01000
1895;Indonesia;Industrial Processes and Product Use;0.01020
1896;Indonesia;Industrial Processes and Product Use;0.01020
1897;Indonesia;Industrial Processes and Product Use;0.01030
1898;Indonesia;Industrial Processes and Product Use;0.01040
1899;Indonesia;Industrial Processes and Product Use;0.01040
1900;Indonesia;Industrial Processes and Product Use;0.01040
1901;Indonesia;Industrial Processes and Product Use;0.01090
1902;Indonesia;Industrial Processes and Product Use;0.01060
1903;Indonesia;Industrial Processes and Product Use;0.01130
1904;Indonesia;Industrial Processes and Product Use;0.01150
1905;Indonesia;Industrial Processes and Product Use;0.01190
1906;Indonesia;Industrial Processes and Product Use;0.01200
1907;Indonesia;Industrial Processes and Product Use;0.01240
1908;Indonesia;Industrial Processes and Product Use;0.01260
1909;Indonesia;Industrial Processes and Product Use;0.01280
1910;Indonesia;Industrial Processes and Product Use;0.01290
1911;Indonesia;Industrial Processes and Product Use;0.01320
1912;Indonesia;Industrial Processes and Product Use;0.01280
1913;Indonesia;Industrial Processes and Product Use;0.01290
1914;Indonesia;Industrial Processes and Product Use;0.01310
1915;Indonesia;Industrial Processes and Product Use;0.01320
1916;Indonesia;Industrial Processes and Product Use;0.01360
1917;Indonesia;Industrial Processes and Product Use;0.01380
1918;Indonesia;Industrial Processes and Product Use;0.01390
1919;Indonesia;Industrial Processes and Product Use;0.01420
1920;Indonesia;Industrial Processes and Product Use;0.01460
1921;Indonesia;Industrial Processes and Product Use;0.01490
1922;Indonesia;Industrial Processes and Product Use;0.01480
1923;Indonesia;Industrial Processes and Product Use;0.01540
1924;Indonesia;Industrial Processes and Product Use;0.01600
1925;Indonesia;Industrial Processes and Product Use;0.01630
1926;Indonesia;Industrial Processes and Product Use;0.01630
1927;Indonesia;Industrial Processes and Product Use;0.01730
1928;Indonesia;Industrial Processes and Product Use;0.01830
1929;Indonesia;Industrial Processes and Product Use;0.10000
1930;Indonesia;Industrial Processes and Product Use;0.09620
1931;Indonesia;Industrial Processes and Product Use;0.09230
1932;Indonesia;Industrial Processes and Product Use;0.06550
1933;Indonesia;Industrial Processes and Product Use;0.06430
1934;Indonesia;Industrial Processes and Product Use;0.08780
1935;Indonesia;Industrial Processes and Product Use;0.10700
1936;Indonesia;Industrial Processes and Product Use;0.10800
1937;Indonesia;Industrial Processes and Product Use;0.12000
1938;Indonesia;Industrial Processes and Product Use;0.13100
1939;Indonesia;Industrial Processes and Product Use;0.14200
1940;Indonesia;Industrial Processes and Product Use;0.14500
1941;Indonesia;Industrial Processes and Product Use;0.14700
1942;Indonesia;Industrial Processes and Product Use;0.12800
1943;Indonesia;Industrial Processes and Product Use;0.12300
1944;Indonesia;Industrial Processes and Product Use;0.10900
1945;Indonesia;Industrial Processes and Product Use;0.09790
1946;Indonesia;Industrial Processes and Product Use;0.08910
1947;Indonesia;Industrial Processes and Product Use;0.08370
1948;Indonesia;Industrial Processes and Product Use;0.11400
1949;Indonesia;Industrial Processes and Product Use;0.13900
1950;Indonesia;Industrial Processes and Product Use;0.15700
1951;Indonesia;Industrial Processes and Product Use;0.18400
1952;Indonesia;Industrial Processes and Product Use;0.23000
1953;Indonesia;Industrial Processes and Product Use;0.26500
1954;Indonesia;Industrial Processes and Product Use;0.30300
1955;Indonesia;Industrial Processes and Product Use;0.34900
1956;Indonesia;Industrial Processes and Product Use;0.39800
1957;Indonesia;Industrial Processes and Product Use;0.50800
1958;Indonesia;Industrial Processes and Product Use;0.59300
1959;Indonesia;Industrial Processes and Product Use;0.67800
1960;Indonesia;Industrial Processes and Product Use;0.76400
1961;Indonesia;Industrial Processes and Product Use;0.87000
1962;Indonesia;Industrial Processes and Product Use;0.98700
1963;Indonesia;Industrial Processes and Product Use;0.99100
1964;Indonesia;Industrial Processes and Product Use;1.17000
1965;Indonesia;Industrial Processes and Product Use;1.26000
1966;Indonesia;Industrial Processes and Product Use;1.39000
1967;Indonesia;Industrial Processes and Product Use;1.55000
1968;Indonesia;Industrial Processes and Product Use;1.76000
1969;Indonesia;Industrial Processes and Product Use;2.02000
1970;Indonesia;Industrial Processes and Product Use;1.84000
1971;Indonesia;Industrial Processes and Product Use;1.86000
1972;Indonesia;Industrial Processes and Product Use;1.97000
1973;Indonesia;Industrial Processes and Product Use;2.18000
1974;Indonesia;Industrial Processes and Product Use;2.42000
1975;Indonesia;Industrial Processes and Product Use;2.62000
1976;Indonesia;Industrial Processes and Product Use;3.01000
1977;Indonesia;Industrial Processes and Product Use;3.97000
1978;Indonesia;Industrial Processes and Product Use;5.87000
1979;Indonesia;Industrial Processes and Product Use;5.60000
1980;Indonesia;Industrial Processes and Product Use;6.96000
1981;Indonesia;Industrial Processes and Product Use;7.65000
1982;Indonesia;Industrial Processes and Product Use;8.25000
1983;Indonesia;Industrial Processes and Product Use;13.00000
1984;Indonesia;Industrial Processes and Product Use;16.40000
1985;Indonesia;Industrial Processes and Product Use;18.20000
1986;Indonesia;Industrial Processes and Product Use;19.50000
1987;Indonesia;Industrial Processes and Product Use;20.30000
1988;Indonesia;Industrial Processes and Product Use;19.60000
1989;Indonesia;Industrial Processes and Product Use;21.70000
1990;Indonesia;Industrial Processes and Product Use;22.30000
1991;Indonesia;Industrial Processes and Product Use;24.00000
1992;Indonesia;Industrial Processes and Product Use;26.40000
1993;Indonesia;Industrial Processes and Product Use;31.30000
1994;Indonesia;Industrial Processes and Product Use;33.90000
1995;Indonesia;Industrial Processes and Product Use;36.50000
1996;Indonesia;Industrial Processes and Product Use;39.00000
1997;Indonesia;Industrial Processes and Product Use;41.50000
1998;Indonesia;Industrial Processes and Product Use;44.50000
1999;Indonesia;Industrial Processes and Product Use;46.30000
2000;Indonesia;Industrial Processes and Product Use;42.90000
2001;Indonesia;Industrial Processes and Product Use;48.30000
2002;Indonesia;Industrial Processes and Product Use;41.80000
2003;Indonesia;Industrial Processes and Product Use;41.50000
2004;Indonesia;Industrial Processes and Product Use;43.20000
2005;Indonesia;Industrial Processes and Product Use;42.40000
2006;Indonesia;Industrial Processes and Product Use;38.70000
2007;Indonesia;Industrial Processes and Product Use;36.00000
2008;Indonesia;Industrial Processes and Product Use;36.60000
2009;Indonesia;Industrial Processes and Product Use;37.60000
2010;Indonesia;Industrial Processes and Product Use;36.10000
2011;Indonesia;Industrial Processes and Product Use;35.90000
2012;Indonesia;Industrial Processes and Product Use;40.10000
2013;Indonesia;Industrial Processes and Product Use;39.20000
2014;Indonesia;Industrial Processes and Product Use;47.50000
2015;Indonesia;Industrial Processes and Product Use;49.30000
2016;Indonesia;Industrial Processes and Product Use;55.30000
2017;Indonesia;Industrial Processes and Product Use;56.50000
2018;Indonesia;Industrial Processes and Product Use;58.10000
1850;Indonesia;Waste;0.13700
1851;Indonesia;Waste;0.13800
1852;Indonesia;Waste;0.13900
1853;Indonesia;Waste;0.13900
1854;Indonesia;Waste;0.14000
1855;Indonesia;Waste;0.14100
1856;Indonesia;Waste;0.14100
1857;Indonesia;Waste;0.14200
1858;Indonesia;Waste;0.14200
1859;Indonesia;Waste;0.14200
1860;Indonesia;Waste;0.14200
1861;Indonesia;Waste;0.14200
1862;Indonesia;Waste;0.14300
1863;Indonesia;Waste;0.14300
1864;Indonesia;Waste;0.14300
1865;Indonesia;Waste;0.14300
1866;Indonesia;Waste;0.14300
1867;Indonesia;Waste;0.14300
1868;Indonesia;Waste;0.14300
1869;Indonesia;Waste;0.14300
1870;Indonesia;Waste;0.14300
1871;Indonesia;Waste;0.14400
1872;Indonesia;Waste;0.14600
1873;Indonesia;Waste;0.15000
1874;Indonesia;Waste;0.15500
1875;Indonesia;Waste;0.16000
1876;Indonesia;Waste;0.16600
1877;Indonesia;Waste;0.17100
1878;Indonesia;Waste;0.17500
1879;Indonesia;Waste;0.17900
1880;Indonesia;Waste;0.18100
1881;Indonesia;Waste;0.18300
1882;Indonesia;Waste;0.18400
1883;Indonesia;Waste;0.18500
1884;Indonesia;Waste;0.18700
1885;Indonesia;Waste;0.18800
1886;Indonesia;Waste;0.18900
1887;Indonesia;Waste;0.19000
1888;Indonesia;Waste;0.19100
1889;Indonesia;Waste;0.19300
1890;Indonesia;Waste;0.19500
1891;Indonesia;Waste;0.19800
1892;Indonesia;Waste;0.20200
1893;Indonesia;Waste;0.20700
1894;Indonesia;Waste;0.21100
1895;Indonesia;Waste;0.21700
1896;Indonesia;Waste;0.22000
1897;Indonesia;Waste;0.22600
1898;Indonesia;Waste;0.23100
1899;Indonesia;Waste;0.23200
1900;Indonesia;Waste;0.23600
1901;Indonesia;Waste;0.25200
1902;Indonesia;Waste;0.24700
1903;Indonesia;Waste;0.26900
1904;Indonesia;Waste;0.27800
1905;Indonesia;Waste;0.29100
1906;Indonesia;Waste;0.29900
1907;Indonesia;Waste;0.31400
1908;Indonesia;Waste;0.32100
1909;Indonesia;Waste;0.33200
1910;Indonesia;Waste;0.33800
1911;Indonesia;Waste;0.34900
1912;Indonesia;Waste;0.34300
1913;Indonesia;Waste;0.34800
1914;Indonesia;Waste;0.35300
1915;Indonesia;Waste;0.35700
1916;Indonesia;Waste;0.37100
1917;Indonesia;Waste;0.38000
1918;Indonesia;Waste;0.38500
1919;Indonesia;Waste;0.39600
1920;Indonesia;Waste;0.41000
1921;Indonesia;Waste;0.42300
1922;Indonesia;Waste;0.42600
1923;Indonesia;Waste;0.45200
1924;Indonesia;Waste;0.47600
1925;Indonesia;Waste;0.49500
1926;Indonesia;Waste;0.50900
1927;Indonesia;Waste;0.54500
1928;Indonesia;Waste;0.58300
1929;Indonesia;Waste;0.64200
1930;Indonesia;Waste;0.65200
1931;Indonesia;Waste;0.65300
1932;Indonesia;Waste;0.66500
1933;Indonesia;Waste;0.69700
1934;Indonesia;Waste;0.73100
1935;Indonesia;Waste;0.75800
1936;Indonesia;Waste;0.79900
1937;Indonesia;Waste;0.86400
1938;Indonesia;Waste;0.90300
1939;Indonesia;Waste;0.95500
1940;Indonesia;Waste;0.97600
1941;Indonesia;Waste;0.98000
1942;Indonesia;Waste;0.81700
1943;Indonesia;Waste;0.98000
1944;Indonesia;Waste;0.91100
1945;Indonesia;Waste;0.90900
1946;Indonesia;Waste;0.93900
1947;Indonesia;Waste;1.03000
1948;Indonesia;Waste;1.23000
1949;Indonesia;Waste;1.36000
1950;Indonesia;Waste;1.26000
1951;Indonesia;Waste;1.30000
1952;Indonesia;Waste;1.39000
1953;Indonesia;Waste;1.43000
1954;Indonesia;Waste;1.50000
1955;Indonesia;Waste;1.61000
1956;Indonesia;Waste;1.67000
1957;Indonesia;Waste;1.72000
1958;Indonesia;Waste;1.76000
1959;Indonesia;Waste;1.83000
1960;Indonesia;Waste;1.86000
1961;Indonesia;Waste;1.98000
1962;Indonesia;Waste;2.01000
1963;Indonesia;Waste;2.09000
1964;Indonesia;Waste;2.17000
1965;Indonesia;Waste;2.29000
1966;Indonesia;Waste;2.36000
1967;Indonesia;Waste;2.46000
1968;Indonesia;Waste;2.58000
1969;Indonesia;Waste;2.73000
1970;Indonesia;Waste;2.83000
1971;Indonesia;Waste;2.96000
1972;Indonesia;Waste;3.06000
1973;Indonesia;Waste;3.21000
1974;Indonesia;Waste;3.31000
1975;Indonesia;Waste;3.39000
1976;Indonesia;Waste;3.51000
1977;Indonesia;Waste;3.66000
1978;Indonesia;Waste;3.84000
1979;Indonesia;Waste;3.99000
1980;Indonesia;Waste;4.13000
1981;Indonesia;Waste;4.31000
1982;Indonesia;Waste;4.43000
1983;Indonesia;Waste;4.64000
1984;Indonesia;Waste;4.87000
1985;Indonesia;Waste;5.04000
1986;Indonesia;Waste;5.27000
1987;Indonesia;Waste;5.44000
1988;Indonesia;Waste;5.69000
1989;Indonesia;Waste;5.92000
1990;Indonesia;Waste;6.18000
1991;Indonesia;Waste;6.36000
1992;Indonesia;Waste;6.60000
1993;Indonesia;Waste;6.79000
1994;Indonesia;Waste;6.99000
1995;Indonesia;Waste;17.70000
1996;Indonesia;Waste;28.40000
1997;Indonesia;Waste;39.00000
1998;Indonesia;Waste;49.70000
1999;Indonesia;Waste;60.50000
2000;Indonesia;Waste;71.30000
2001;Indonesia;Waste;74.10000
2002;Indonesia;Waste;76.90000
2003;Indonesia;Waste;81.00000
2004;Indonesia;Waste;84.40000
2005;Indonesia;Waste;87.60000
2006;Indonesia;Waste;90.70000
2007;Indonesia;Waste;92.90000
2008;Indonesia;Waste;95.70000
2009;Indonesia;Waste;100.00000
2010;Indonesia;Waste;103.00000
2011;Indonesia;Waste;110.00000
2012;Indonesia;Waste;115.00000
2013;Indonesia;Waste;117.00000
2014;Indonesia;Waste;118.00000
2015;Indonesia;Waste;120.00000
2016;Indonesia;Waste;126.00000
2017;Indonesia;Waste;129.00000
2018;Indonesia;Waste;132.00000
1850;Indonesia;Agriculture;4.34000
1851;Indonesia;Agriculture;4.82000
1852;Indonesia;Agriculture;5.29000
1853;Indonesia;Agriculture;5.75000
1854;Indonesia;Agriculture;6.21000
1855;Indonesia;Agriculture;6.65000
1856;Indonesia;Agriculture;7.09000
1857;Indonesia;Agriculture;7.52000
1858;Indonesia;Agriculture;7.93000
1859;Indonesia;Agriculture;8.34000
1860;Indonesia;Agriculture;8.73000
1861;Indonesia;Agriculture;9.12000
1862;Indonesia;Agriculture;9.49000
1863;Indonesia;Agriculture;9.86000
1864;Indonesia;Agriculture;10.20000
1865;Indonesia;Agriculture;10.60000
1866;Indonesia;Agriculture;10.90000
1867;Indonesia;Agriculture;11.20000
1868;Indonesia;Agriculture;11.60000
1869;Indonesia;Agriculture;11.90000
1870;Indonesia;Agriculture;12.20000
1871;Indonesia;Agriculture;12.50000
1872;Indonesia;Agriculture;12.80000
1873;Indonesia;Agriculture;13.10000
1874;Indonesia;Agriculture;13.50000
1875;Indonesia;Agriculture;13.80000
1876;Indonesia;Agriculture;14.10000
1877;Indonesia;Agriculture;14.40000
1878;Indonesia;Agriculture;14.70000
1879;Indonesia;Agriculture;15.00000
1880;Indonesia;Agriculture;15.20000
1881;Indonesia;Agriculture;15.40000
1882;Indonesia;Agriculture;15.60000
1883;Indonesia;Agriculture;15.80000
1884;Indonesia;Agriculture;16.00000
1885;Indonesia;Agriculture;16.20000
1886;Indonesia;Agriculture;16.40000
1887;Indonesia;Agriculture;16.50000
1888;Indonesia;Agriculture;16.70000
1889;Indonesia;Agriculture;16.80000
1890;Indonesia;Agriculture;17.50000
1891;Indonesia;Agriculture;17.70000
1892;Indonesia;Agriculture;17.80000
1893;Indonesia;Agriculture;18.00000
1894;Indonesia;Agriculture;18.20000
1895;Indonesia;Agriculture;18.40000
1896;Indonesia;Agriculture;18.60000
1897;Indonesia;Agriculture;18.90000
1898;Indonesia;Agriculture;19.10000
1899;Indonesia;Agriculture;19.40000
1900;Indonesia;Agriculture;19.70000
1901;Indonesia;Agriculture;20.00000
1902;Indonesia;Agriculture;20.30000
1903;Indonesia;Agriculture;20.70000
1904;Indonesia;Agriculture;21.20000
1905;Indonesia;Agriculture;21.60000
1906;Indonesia;Agriculture;22.10000
1907;Indonesia;Agriculture;22.60000
1908;Indonesia;Agriculture;23.20000
1909;Indonesia;Agriculture;23.70000
1910;Indonesia;Agriculture;24.30000
1911;Indonesia;Agriculture;25.00000
1912;Indonesia;Agriculture;25.80000
1913;Indonesia;Agriculture;26.70000
1914;Indonesia;Agriculture;27.60000
1915;Indonesia;Agriculture;28.60000
1916;Indonesia;Agriculture;29.70000
1917;Indonesia;Agriculture;30.80000
1918;Indonesia;Agriculture;32.00000
1919;Indonesia;Agriculture;33.20000
1920;Indonesia;Agriculture;34.40000
1921;Indonesia;Agriculture;36.00000
1922;Indonesia;Agriculture;38.20000
1923;Indonesia;Agriculture;40.90000
1924;Indonesia;Agriculture;43.70000
1925;Indonesia;Agriculture;46.70000
1926;Indonesia;Agriculture;49.50000
1927;Indonesia;Agriculture;52.10000
1928;Indonesia;Agriculture;54.20000
1929;Indonesia;Agriculture;55.70000
1930;Indonesia;Agriculture;56.40000
1931;Indonesia;Agriculture;56.30000
1932;Indonesia;Agriculture;55.60000
1933;Indonesia;Agriculture;54.50000
1934;Indonesia;Agriculture;53.10000
1935;Indonesia;Agriculture;51.60000
1936;Indonesia;Agriculture;50.00000
1937;Indonesia;Agriculture;48.60000
1938;Indonesia;Agriculture;47.40000
1939;Indonesia;Agriculture;46.60000
1940;Indonesia;Agriculture;46.30000
1941;Indonesia;Agriculture;46.60000
1942;Indonesia;Agriculture;47.20000
1943;Indonesia;Agriculture;48.70000
1944;Indonesia;Agriculture;50.20000
1945;Indonesia;Agriculture;52.00000
1946;Indonesia;Agriculture;53.80000
1947;Indonesia;Agriculture;55.60000
1948;Indonesia;Agriculture;57.40000
1949;Indonesia;Agriculture;58.70000
1950;Indonesia;Agriculture;59.30000
1951;Indonesia;Agriculture;60.10000
1952;Indonesia;Agriculture;61.30000
1953;Indonesia;Agriculture;62.90000
1954;Indonesia;Agriculture;64.70000
1955;Indonesia;Agriculture;66.70000
1956;Indonesia;Agriculture;68.70000
1957;Indonesia;Agriculture;70.70000
1958;Indonesia;Agriculture;72.50000
1959;Indonesia;Agriculture;74.10000
1960;Indonesia;Agriculture;75.30000
1961;Indonesia;Agriculture;75.30000
1962;Indonesia;Agriculture;78.50000
1963;Indonesia;Agriculture;74.60000
1964;Indonesia;Agriculture;76.40000
1965;Indonesia;Agriculture;79.40000
1966;Indonesia;Agriculture;81.80000
1967;Indonesia;Agriculture;79.90000
1968;Indonesia;Agriculture;85.90000
1969;Indonesia;Agriculture;83.60000
1970;Indonesia;Agriculture;84.40000
1971;Indonesia;Agriculture;86.00000
1972;Indonesia;Agriculture;83.90000
1973;Indonesia;Agriculture;86.80000
1974;Indonesia;Agriculture;87.70000
1975;Indonesia;Agriculture;87.30000
1976;Indonesia;Agriculture;86.60000
1977;Indonesia;Agriculture;87.80000
1978;Indonesia;Agriculture;92.00000
1979;Indonesia;Agriculture;92.00000
1980;Indonesia;Agriculture;95.20000
1981;Indonesia;Agriculture;98.50000
1982;Indonesia;Agriculture;99.20000
1983;Indonesia;Agriculture;102.00000
1984;Indonesia;Agriculture;107.00000
1985;Indonesia;Agriculture;109.00000
1986;Indonesia;Agriculture;112.00000
1987;Indonesia;Agriculture;113.00000
1988;Indonesia;Agriculture;114.00000
1989;Indonesia;Agriculture;117.00000
1990;Indonesia;Agriculture;118.00000
1991;Indonesia;Agriculture;129.00000
1992;Indonesia;Agriculture;132.00000
1993;Indonesia;Agriculture;131.00000
1994;Indonesia;Agriculture;107.00000
1995;Indonesia;Agriculture;107.00000
1996;Indonesia;Agriculture;107.00000
1997;Indonesia;Agriculture;105.00000
1998;Indonesia;Agriculture;103.00000
1999;Indonesia;Agriculture;102.00000
2000;Indonesia;Agriculture;103.00000
2001;Indonesia;Agriculture;102.00000
2002;Indonesia;Agriculture;102.00000
2003;Indonesia;Agriculture;103.00000
2004;Indonesia;Agriculture;105.00000
2005;Indonesia;Agriculture;107.00000
2006;Indonesia;Agriculture;106.00000
2007;Indonesia;Agriculture;110.00000
2008;Indonesia;Agriculture;106.00000
2009;Indonesia;Agriculture;110.00000
2010;Indonesia;Agriculture;112.00000
2011;Indonesia;Agriculture;111.00000
2012;Indonesia;Agriculture;115.00000
2013;Indonesia;Agriculture;114.00000
2014;Indonesia;Agriculture;115.00000
2015;Indonesia;Agriculture;121.00000
2016;Indonesia;Agriculture;126.00000
2017;Indonesia;Agriculture;129.00000
2018;Indonesia;Agriculture;132.00000
1850;Indonesia;Other;0.00000
1851;Indonesia;Other;0.00592
1852;Indonesia;Other;0.01180
1853;Indonesia;Other;0.01770
1854;Indonesia;Other;0.02370
1855;Indonesia;Other;0.02960
1856;Indonesia;Other;0.03550
1857;Indonesia;Other;0.04140
1858;Indonesia;Other;0.04730
1859;Indonesia;Other;0.05320
1860;Indonesia;Other;0.05920
1861;Indonesia;Other;0.06510
1862;Indonesia;Other;0.07100
1863;Indonesia;Other;0.07690
1864;Indonesia;Other;0.08280
1865;Indonesia;Other;0.08870
1866;Indonesia;Other;0.09460
1867;Indonesia;Other;0.10100
1868;Indonesia;Other;0.10600
1869;Indonesia;Other;0.11200
1870;Indonesia;Other;0.11800
1871;Indonesia;Other;0.12400
1872;Indonesia;Other;0.13000
1873;Indonesia;Other;0.13600
1874;Indonesia;Other;0.14200
1875;Indonesia;Other;0.14800
1876;Indonesia;Other;0.15400
1877;Indonesia;Other;0.16000
1878;Indonesia;Other;0.16600
1879;Indonesia;Other;0.17200
1880;Indonesia;Other;0.17700
1881;Indonesia;Other;0.18300
1882;Indonesia;Other;0.18900
1883;Indonesia;Other;0.19500
1884;Indonesia;Other;0.20100
1885;Indonesia;Other;0.20700
1886;Indonesia;Other;0.21300
1887;Indonesia;Other;0.21900
1888;Indonesia;Other;0.22500
1889;Indonesia;Other;0.23100
1890;Indonesia;Other;0.23700
1891;Indonesia;Other;0.24300
1892;Indonesia;Other;0.24800
1893;Indonesia;Other;0.25400
1894;Indonesia;Other;0.26000
1895;Indonesia;Other;0.26600
1896;Indonesia;Other;0.27200
1897;Indonesia;Other;0.27800
1898;Indonesia;Other;0.28400
1899;Indonesia;Other;0.29000
1900;Indonesia;Other;0.29600
1901;Indonesia;Other;0.30200
1902;Indonesia;Other;0.30800
1903;Indonesia;Other;0.31400
1904;Indonesia;Other;0.31900
1905;Indonesia;Other;0.32500
1906;Indonesia;Other;0.33100
1907;Indonesia;Other;0.33700
1908;Indonesia;Other;0.34300
1909;Indonesia;Other;0.34900
1910;Indonesia;Other;0.35500
1911;Indonesia;Other;0.36100
1912;Indonesia;Other;0.36700
1913;Indonesia;Other;0.37300
1914;Indonesia;Other;0.37900
1915;Indonesia;Other;0.38500
1916;Indonesia;Other;0.39000
1917;Indonesia;Other;0.39600
1918;Indonesia;Other;0.40200
1919;Indonesia;Other;0.40800
1920;Indonesia;Other;0.41400
1921;Indonesia;Other;0.42000
1922;Indonesia;Other;0.42600
1923;Indonesia;Other;0.43200
1924;Indonesia;Other;0.43800
1925;Indonesia;Other;0.44400
1926;Indonesia;Other;0.45000
1927;Indonesia;Other;0.45500
1928;Indonesia;Other;0.46100
1929;Indonesia;Other;0.46700
1930;Indonesia;Other;0.47300
1931;Indonesia;Other;0.47900
1932;Indonesia;Other;0.48500
1933;Indonesia;Other;0.49100
1934;Indonesia;Other;0.49700
1935;Indonesia;Other;0.50300
1936;Indonesia;Other;0.50900
1937;Indonesia;Other;0.51500
1938;Indonesia;Other;0.52100
1939;Indonesia;Other;0.52600
1940;Indonesia;Other;0.53200
1941;Indonesia;Other;0.53800
1942;Indonesia;Other;0.54400
1943;Indonesia;Other;0.55000
1944;Indonesia;Other;0.55600
1945;Indonesia;Other;0.56200
1946;Indonesia;Other;0.56800
1947;Indonesia;Other;0.57400
1948;Indonesia;Other;0.58000
1949;Indonesia;Other;0.58600
1950;Indonesia;Other;0.59200
1951;Indonesia;Other;0.59700
1952;Indonesia;Other;0.60300
1953;Indonesia;Other;0.60900
1954;Indonesia;Other;0.61500
1955;Indonesia;Other;0.62100
1956;Indonesia;Other;0.62700
1957;Indonesia;Other;0.63300
1958;Indonesia;Other;0.63900
1959;Indonesia;Other;0.64500
1960;Indonesia;Other;0.65100
1961;Indonesia;Other;0.65700
1962;Indonesia;Other;0.66300
1963;Indonesia;Other;0.66800
1964;Indonesia;Other;0.67400
1965;Indonesia;Other;0.68000
1966;Indonesia;Other;0.68600
1967;Indonesia;Other;0.69200
1968;Indonesia;Other;0.69800
1969;Indonesia;Other;0.70400
1970;Indonesia;Other;0.88500
1971;Indonesia;Other;0.88200
1972;Indonesia;Other;0.90600
1973;Indonesia;Other;0.93400
1974;Indonesia;Other;0.94100
1975;Indonesia;Other;0.97500
1976;Indonesia;Other;0.98300
1977;Indonesia;Other;1.06000
1978;Indonesia;Other;1.12000
1979;Indonesia;Other;1.17000
1980;Indonesia;Other;1.22000
1981;Indonesia;Other;1.28000
1982;Indonesia;Other;1.32000
1983;Indonesia;Other;1.33000
1984;Indonesia;Other;1.38000
1985;Indonesia;Other;1.47000
1986;Indonesia;Other;1.55000
1987;Indonesia;Other;1.59000
1988;Indonesia;Other;1.64000
1989;Indonesia;Other;1.69000
1990;Indonesia;Other;2.09000
1991;Indonesia;Other;2.19000
1992;Indonesia;Other;2.25000
1993;Indonesia;Other;2.39000
1994;Indonesia;Other;2.47000
1995;Indonesia;Other;2.64000
1996;Indonesia;Other;2.75000
1997;Indonesia;Other;2.92000
1998;Indonesia;Other;2.87000
1999;Indonesia;Other;2.97000
2000;Indonesia;Other;3.02000
2001;Indonesia;Other;3.10000
2002;Indonesia;Other;3.15000
2003;Indonesia;Other;3.36000
2004;Indonesia;Other;3.36000
2005;Indonesia;Other;3.41000
2006;Indonesia;Other;3.51000
2007;Indonesia;Other;3.72000
2008;Indonesia;Other;3.66000
2009;Indonesia;Other;3.71000
